year,driverId,constructorId
1979,231,59
1979,177,59
1979,203,6
1979,222,6
1979,232,60
1979,234,60
1979,234,61
1979,212,62
1978,152,1
1978,245,1
1978,137,1
1978,175,1
1978,231,1
1978,208,1
1978,239,1
1978,243,21
1978,119,21
1978,221,25
1978,202,25
1978,172,27
1978,178,3
1978,238,32
1978,207,32
1978,197,32
1978,212,32
1978,137,34
1978,182,34
1978,187,34
1978,219,4
1978,177,54
1978,247,54
1978,229,54
1978,200,54
1978,244,54
1978,197,54
1978,246,54
1978,158,55
1978,177,55
1978,224,56
1978,240,57
1978,229,57
1978,241,57
1978,137,57
1978,206,57
1978,235,57
1978,239,57
1978,209,57
1978,223,58
1978,240,58
1978,233,58
1978,249,59
1978,177,59
1978,222,59
1978,203,6
1978,199,6
1978,232,60
1978,244,60
1978,230,63
1978,213,63
1978,163,63
1978,248,63
1978,211,63
1978,158,64
1978,242,64
1978,206,64
1978,163,65
1977,239,1
1977,208,1
1977,231,1
1977,200,1
1977,203,1
1977,152,1
1977,238,25
1977,272,25
1977,221,25
1977,172,27
1977,197,27
1977,207,32
1977,255,32
1977,233,34
1977,187,34
1977,250,34
1977,220,34
1977,258,37
1977,251,37
1977,261,37
1977,247,37
1977,205,37
1977,237,37
1977,232,37
1977,257,37
1977,233,37
1977,263,37
1977,239,37
1977,264,37
1977,219,4
1977,224,56
1977,253,56
1977,175,57
1977,223,57
1977,235,57
1977,252,58
1977,178,58
1977,119,58
1977,262,58
1977,254,58
1977,197,58
1977,232,58
1977,222,59
1977,182,6
1977,203,6
1977,199,6
1977,175,63
1977,256,63
1977,241,63
1977,246,63
1977,230,63
1977,245,63
1977,267,63
1977,211,64
1977,270,64
1977,229,64
1977,212,64
1977,265,66
1977,260,66
1977,269,66
1977,256,66
1977,197,67
1977,240,67
1977,246,67
1977,268,67
1977,259,68
1977,266,69
1977,205,70
1977,271,71
1977,274,72
1977,273,72
1976,231,1
1976,200,1
1976,281,182
1976,282,182
1976,276,182
1976,258,182
1976,208,182
1976,271,182
1976,275,182
1976,243,204
1976,199,204
1976,256,204
1976,250,204
1976,222,25
1976,221,25
1976,273,25
1976,284,25
1976,285,25
1976,251,25
1976,172,27
1976,254,3
1976,279,3
1976,238,32
1976,207,32
1976,255,32
1976,276,32
1976,233,37
1976,232,37
1976,275,37
1976,238,37
1976,230,37
1976,253,56
1976,224,56
1976,278,57
1976,246,57
1976,258,57
1976,235,57
1976,283,58
1976,197,58
1976,252,58
1976,235,59
1976,278,59
1976,246,59
1976,277,59
1976,232,59
1976,286,59
1976,182,6
1976,199,6
1976,223,6
1976,274,63
1976,239,63
1976,280,63
1976,242,63
1976,178,63
1976,260,63
1976,229,64
1976,265,64
1976,243,64
1976,237,64
1976,270,66
1976,187,67
1976,257,67
1976,256,70
1976,287,72
1976,207,73
1976,245,74
1975,224,1
1975,200,1
1975,293,1
1975,252,202
1975,197,202
1975,197,203
1975,221,25
1975,222,25
1975,277,25
1975,251,25
1975,219,25
1975,296,26
1975,289,26
1975,243,26
1975,251,3
1975,296,3
1975,270,3
1975,303,3
1975,294,3
1975,232,3
1975,172,3
1975,282,3
1975,275,3
1975,254,3
1975,292,32
1975,291,32
1975,302,32
1975,187,32
1975,238,32
1975,205,32
1975,235,32
